review-item-author,review-item-date,review-item-content
blackjackjackson,"Jul 23, 2019",i am soooo happy with the quality of shots!  i love the new shutter release!  thanks
sharleenp2012,"Sep 22, 2020",I love this camera.  It is easy to use and takes great pictures.  The price is definitely worth it.
sta_9222,"Nov 13, 2018","Just wish it was not stuck in auto mode. But I knew that when I order it.  It was clearly stated that that was an issue. Still a great value,"
sjcyorkie10,"Mar 11, 2020",This camera is super easy to use and takes great pictures.  In Auto mode all you have to do is point and shoot or in any of the other modes you have so many options you can set it is like having a DSLR.  Great product for the price.
roadkingcharlie33,"Jan 01, 2018",I can usually navigate electronic devices with ease. This camera is the most user-unfriendly device of any kind I've ever experienced. I returned it and bought a Nikon B700 to replace it; the B700 is very user-friendly (connecting it to my iPad and iPhones was a breeze).
utom2001,"Mar 18, 2020",Great picture and easy to use. Just no book with it.
anetm52454,"Apr 21, 2020","Super clear photos, easy to download pix to computer"
jose.nolt,"Dec 10, 2018","it was what i was looking for, a point and shoot with really good zoom. The ability to do 4k video on the fly. And enough settings to get an ametuer like me into trouble."
army_of_hope,"Nov 17, 2020",Good overall value a bit heavy but so many features and options!
super-gardens,"Apr 19, 2021",Pretty handy and decent pocket camera. I like the long zoom capacity. good built quality camera.
jtur4688,"May 01, 2021","Camera works great. The lens covering won't close all the way but I've read that isn't uncommon. Other than that, the camera functions as it should."
jwu686868,"Sep 09, 2020",it does everything as expected. it's a hunk of point n shoot.camara
z9nmfyslq_u@del...,"Apr 08, 2019","Iâ€™m super happy with my new camera. It takes phenomenal pix, and videos."
urCsz1UXQDy@Del...,"Feb 25, 2018",I am very happy with product except where strap goes it is all closed in canâ€™t put strap on it
nearkolob,"Feb 02, 2017",It is like a Toyota. Great build quality. Works beyond expectations. Easy to use. Great value for the money!
bwc3030,"Mar 19, 2019",The 4K is pretty good for a point and shoot.  1080 is normal. Good zoom.
marinageldenhuys,"Dec 15, 2018",Good camera for a good price.
mikel9387,"Jan 13, 2020","Due to the lower price, I was kind of skeptical it would be new but it arrived as new and works well."
barbara24680,"Jun 29, 2021",Great little camera and pocket size
jainun_0,"May 08, 2019",Excellent Product. Camera takes great Pics with Excellent Zoom!
porsche27,"May 05, 2017",An updated version of another model with greater zoom.
bsharp-sam,"Mar 23, 2021","Excellent high-optical-zoom pocket camera. We already have the Canon S120, so we were looking for a similar camera with a 40x optical zoom -- this is it!"
canducci1970,"Sep 10, 2018",Awesome ....  The Best to Start
casaverde38,"Apr 18, 2020",I love this camera. The zoom is so awesome!
2015yarab,"Jan 08, 2019",everthing great but it did not come with chip
hue_wayn,"Feb 18, 2019",great little camera
rikkyfa,"Aug 16, 2018",Love this dig. Can. So clear. Thank you so much.
